[4128243712, 4128276480]
[4128309248, 4128342016]
[4128374784, 4128407552]
[4128440320, 4128473088]
[4128505856, 4128538624]
[4128571392, 4128604160]
[4128636928, 4128669696]
[4128702464, 4128735232]
[4128768000, 4128800768]
[4128833536, 4128866304]
[4128899072, 4128931840]
[4128964608, 4128997376]
[4129030144, 4129062912]
[4129095680, 4129128448]
[4129161216, 4129193984]
[4129226752, 4129259520]
[4129292288, 4129325056]
[4129357824, 4129390592]
[4129423360, 4129456128]
[4129488896, 4129521664]
[4129554432, 4129587200]
[4129619968, 4129652736]
[4129685504, 4129718272]
[4129751040, 4129783808]
[4129816576, 4129849344]
[4129882112, 4129914880]
[4129947648, 4129980416]
[4130013184, 4130045952]
[4130078720, 4130111488]
[4130144256, 4130177024]
[4130209792, 4130242560]
[4130275328, 4130308096]
[4130340864, 4130373632]
[4130406400, 4130439168]
[4130471936, 4130504704]
[4130537472, 4130570240]
[4130603008, 4130635776]
[4130668544, 4130701312]
[4130734080, 4130766848]
[4130799616, 4130832384]
[4130865152, 4130897920]
[4130930688, 4130963456]
[4130996224, 4131028992]
[4131061760, 4131094528]
[4131127296, 4131160064]
[4131192832, 4131225600]
[4131258368, 4131291136]
[4131323904, 4131356672]
[4131389440, 4131422208]
[4131454976, 4131487744]
[4131520512, 4131553280]
[4131586048, 4131618816]
[4131651584, 4131684352]
[4131717120, 4131749888]
[4131782656, 4131815424]
[4131848192, 4131880960]
[4131913728, 4131946496]
[4131979264, 4132012032]
[4132044800, 4132077568]
[4132110336, 4132143104]
[4132175872, 4132208640]
[4132241408, 4132274176]
[4132306944, 4132339712]
[4132372480, 4132405248]
[4132438016, 4132470784]
[4132503552, 4132536320]
[4132569088, 4132601856]
[4132634624, 4132667392]
[4132700160, 4132732928]
[4132765696, 4132798464]
[4132831232, 4132864000]
[4132896768, 4132929536]
[4132962304, 4132995072]
[4133027840, 4133060608]
[4133093376, 4133126144]
[4133158912, 4133191680]
[4133224448, 4133257216]
[4133289984, 4133322752]
[4133355520, 4133388288]
[4133421056, 4133453824]
[4133486592, 4133519360]
[4133552128, 4133584896]
[4133617664, 4133650432]
[4133683200, 4133715968]
[4133748736, 4133781504]
[4133814272, 4133847040]
[4133879808, 4133912576]
[4133945344, 4133978112]
[4134010880, 4134043648]
[4134076416, 4134109184]
[4134141952, 4134174720]
[4134207488, 4134240256]
[4134273024, 4134305792]
[4134338560, 4134371328]
[4134404096, 4134436864]
[4134469632, 4134502400]
[4134535168, 4134567936]
[4134600704, 4134633472]
[4134666240, 4134699008]
[4134731776, 4134764544]
[4134797312, 4134830080]
[4134862848, 4134895616]
[4134928384, 4134961152]
[4134993920, 4135026688]
[4135059456, 4135092224]
[4135124992, 4135157760]
[4135190528, 4135223296]
[4135256064, 4135288832]
[4135321600, 4135354368]
[4135387136, 4135419904]
[4135452672, 4135485440]
[4135518208, 4135550976]
[4135583744, 4135616512]
[4135649280, 4135682048]
[4135714816, 4135747584]
[4135780352, 4135813120]
[4135845888, 4135878656]
[4135911424, 4135944192]
[4135976960, 4136009728]
[4136042496, 4136075264]
[4136108032, 4136140800]
[4136173568, 4136206336]
[4136239104, 4136271872]
[4136304640, 4136337408]
[4136370176, 4136402944]
[4136435712, 4136468480]
[4136501248, 4136534016]
[4136566784, 4136599552]
[4136632320, 4136665088]
[4136697856, 4136730624]
[4136763392, 4136796160]
[4136828928, 4136861696]
[4136894464, 4136927232]
[4136960000, 4136992768]
[4137025536, 4137058304]
[4137091072, 4137123840]
[4137156608, 4137189376]
[4137222144, 4137254912]
[4137287680, 4137320448]
[4137353216, 4137385984]
[4137418752, 4137451520]
[4137484288, 4137517056]
[4137549824, 4137582592]
[4137615360, 4137648128]
[4138729472, 4138762240]
[4138795008, 4138827776]
[4138860544, 4138893312]
[4138926080, 4138958848]
[4138991616, 4139024384]
[4139057152, 4139089920]
[4139122688, 4139155456]
[4139188224, 4139220992]
[4139253760, 4139286528]
[4139319296, 4139352064]
[4139384832, 4139417600]
[4139450368, 4139483136]
[4139515904, 4139548672]
[4139581440, 4139614208]
[4139646976, 4139679744]
[4139712512, 4139745280]
[4139778048, 4139810816]
[4139843584, 4139876352]
[4139909120, 4139941888]
[4139974656, 4140007424]
[4140040192, 4140072960]
[4140105728, 4140138496]
[4140171264, 4140204032]
[4140236800, 4140269568]
[4140302336, 4140335104]
[4140367872, 4140400640]
[4140433408, 4140466176]
[4140498944, 4140531712]
[4140564480, 4140597248]
[4140630016, 4140662784]
[4140695552, 4140728320]
[4140761088, 4140793856]
[4140826624, 4140859392]
[4140892160, 4140924928]
[4140957696, 4140990464]
[4141023232, 4141056000]
[4141088768, 4141121536]
[4141154304, 4141187072]
[4141219840, 4141252608]
[4141285376, 4141318144]
[4141350912, 4141383680]
[4141416448, 4141449216]
[4141481984, 4141514752]
[4141547520, 4141580288]
[4141613056, 4141645824]
[4141678592, 4141711360]
[4141744128, 4141776896]
[4141809664, 4141842432]
[4141875200, 4141907968]
[4141940736, 4141973504]
[4142006272, 4142039040]
[4142071808, 4142104576]
[4142137344, 4142170112]
[4142202880, 4142235648]
[4142268416, 4142301184]
[4142333952, 4142366720]
[4142399488, 4142432256]
[4142465024, 4142497792]
[4142530560, 4142563328]
[4142596096, 4142628864]
[4142661632, 4142694400]
[4142727168, 4142759936]
[4142792704, 4142825472]
[4142858240, 4142891008]
[4142923776, 4142956544]
[4142989312, 4143022080]
[4143054848, 4143087616]
[4143120384, 4143153152]
[4143185920, 4143218688]
[4143251456, 4143284224]
[4143316992, 4143349760]
[4143382528, 4143415296]
[4143448064, 4143480832]
[4143513600, 4143546368]
[4143579136, 4143611904]
[4143644672, 4143677440]
[4143710208, 4143742976]
[4143775744, 4143808512]
[4143841280, 4143874048]
[4143906816, 4143939584]
