[4061134848, 4061167616]
[4061200384, 4061233152]
[4061265920, 4061298688]
[4061331456, 4061364224]
[4061396992, 4061429760]
[4061462528, 4061495296]
[4061528064, 4061560832]
[4061593600, 4061626368]
[4061659136, 4061691904]
[4061724672, 4061757440]
[4061790208, 4061822976]
[4061855744, 4061888512]
[4061921280, 4061954048]
[4061986816, 4062019584]
[4062052352, 4062085120]
[4062117888, 4062150656]
[4062183424, 4062216192]
[4062248960, 4062281728]
[4062314496, 4062347264]
[4062380032, 4062412800]
[4062445568, 4062478336]
[4062511104, 4062543872]
[4062576640, 4062609408]
[4062642176, 4062674944]
[4062707712, 4062740480]
[4062773248, 4062806016]
[4062838784, 4062871552]
[4062904320, 4062937088]
[4062969856, 4063002624]
[4063035392, 4063068160]
[4063100928, 4063133696]
[4063166464, 4063199232]
[4063232000, 4063264768]
[4063297536, 4063330304]
[4063363072, 4063395840]
[4063428608, 4063461376]
[4063494144, 4063526912]
[4063559680, 4063592448]
[4063625216, 4063657984]
[4063690752, 4063723520]
[4063756288, 4063789056]
[4063821824, 4063854592]
[4063887360, 4063920128]
[4063952896, 4063985664]
[4064018432, 4064051200]
[4064083968, 4064116736]
[4064149504, 4064182272]
[4064215040, 4064247808]
[4064280576, 4064313344]
[4064346112, 4064378880]
[4064411648, 4064444416]
[4064477184, 4064509952]
[4064542720, 4064575488]
[4064608256, 4064641024]
[4064673792, 4064706560]
[4064739328, 4064772096]
[4064804864, 4064837632]
[4064870400, 4064903168]
[4064935936, 4064968704]
[4065001472, 4065034240]
[4065067008, 4065099776]
[4065132544, 4065165312]
[4065198080, 4065230848]
[4065263616, 4065296384]
[4065329152, 4065361920]
[4065394688, 4065427456]
[4065460224, 4065492992]
[4065525760, 4065558528]
[4065591296, 4065624064]
[4065656832, 4065689600]
[4065722368, 4065755136]
[4065787904, 4065820672]
[4065853440, 4065886208]
[4065918976, 4065951744]
[4065984512, 4066017280]
[4066050048, 4066082816]
[4066115584, 4066148352]
[4066181120, 4066213888]
[4066246656, 4066279424]
[4066312192, 4066344960]
[4066377728, 4066410496]
[4066443264, 4066476032]
[4066508800, 4066541568]
[4066574336, 4066607104]
[4066639872, 4066672640]
[4066705408, 4066738176]
[4066770944, 4066803712]
[4066836480, 4066869248]
[4066902016, 4066934784]
[4066967552, 4067000320]
[4067033088, 4067065856]
[4067098624, 4067131392]
[4067164160, 4067196928]
[4067229696, 4067262464]
[4067295232, 4067328000]
[4067360768, 4067393536]
[4067426304, 4067459072]
[4067491840, 4067524608]
[4067557376, 4067590144]
[4067622912, 4067655680]
[4067688448, 4067721216]
[4067753984, 4067786752]
[4067819520, 4067852288]
[4067885056, 4067917824]
[4067950592, 4067983360]
[4068016128, 4068048896]
[4068081664, 4068114432]
[4068147200, 4068179968]
[4068212736, 4068245504]
[4068278272, 4068311040]
[4068343808, 4068376576]
[4068409344, 4068442112]
[4068474880, 4068507648]
[4068540416, 4068573184]
[4068605952, 4068638720]
[4068671488, 4068704256]
[4068737024, 4068769792]
[4068802560, 4068835328]
[4068868096, 4068900864]
[4068933632, 4068966400]
[4068999168, 4069031936]
[4069064704, 4069097472]
[4069130240, 4069163008]
[4069195776, 4069228544]
[4069261312, 4069294080]
[4069326848, 4069359616]
[4069392384, 4069425152]
[4069457920, 4069490688]
[4069523456, 4069556224]
[4069588992, 4069621760]
[4069654528, 4069687296]
[4069720064, 4069752832]
[4069785600, 4069818368]
[4069851136, 4069883904]
[4069916672, 4069949440]
[4069982208, 4070014976]
[4070047744, 4070080512]
[4070113280, 4070146048]
[4070178816, 4070211584]
[4070244352, 4070277120]
[4070309888, 4070342656]
[4070375424, 4070408192]
[4070440960, 4070473728]
[4070506496, 4070539264]
[4071620608, 4071653376]
[4071686144, 4071718912]
[4071751680, 4071784448]
[4071817216, 4071849984]
[4071882752, 4071915520]
[4071948288, 4071981056]
[4072013824, 4072046592]
[4072079360, 4072112128]
[4072144896, 4072177664]
[4072210432, 4072243200]
[4072275968, 4072308736]
[4072341504, 4072374272]
[4072407040, 4072439808]
[4072472576, 4072505344]
[4072538112, 4072570880]
[4072603648, 4072636416]
[4072669184, 4072701952]
[4072734720, 4072767488]
[4072800256, 4072833024]
[4072865792, 4072898560]
[4072931328, 4072964096]
[4072996864, 4073029632]
[4073062400, 4073095168]
[4073127936, 4073160704]
[4073193472, 4073226240]
[4073259008, 4073291776]
[4073324544, 4073357312]
[4073390080, 4073422848]
[4073455616, 4073488384]
[4073521152, 4073553920]
[4073586688, 4073619456]
[4073652224, 4073684992]
[4073717760, 4073750528]
[4073783296, 4073816064]
[4073848832, 4073881600]
[4073914368, 4073947136]
[4073979904, 4074012672]
[4074045440, 4074078208]
[4074110976, 4074143744]
[4074176512, 4074209280]
[4074242048, 4074274816]
[4074307584, 4074340352]
[4074373120, 4074405888]
[4074438656, 4074471424]
[4074504192, 4074536960]
[4074569728, 4074602496]
[4074635264, 4074668032]
[4074700800, 4074733568]
[4074766336, 4074799104]
[4074831872, 4074864640]
[4074897408, 4074930176]
[4074962944, 4074995712]
[4075028480, 4075061248]
[4075094016, 4075126784]
[4075159552, 4075192320]
[4075225088, 4075257856]
[4075290624, 4075323392]
[4075356160, 4075388928]
[4075421696, 4075454464]
[4075487232, 4075520000]
[4075552768, 4075585536]
[4075618304, 4075651072]
[4075683840, 4075716608]
[4075749376, 4075782144]
[4075814912, 4075847680]
[4075880448, 4075913216]
[4075945984, 4075978752]
[4076011520, 4076044288]
[4076077056, 4076109824]
[4076142592, 4076175360]
[4076208128, 4076240896]
[4076273664, 4076306432]
[4076339200, 4076371968]
[4076404736, 4076437504]
[4076470272, 4076503040]
[4076535808, 4076568576]
[4076601344, 4076634112]
[4076666880, 4076699648]
[4076732416, 4076765184]
[4076797952, 4076830720]
