================================================================================
功能性隐藏指令归类统计报告 (细粒度 Opcode)
================================================================================

总处理/确认隐藏指令数: 54,281,388
Type A (完全未定义): 6,097,123
Type B (格式不符): 48,184,265

--------------------------------------------------------------------------------
Opcode 归类结果 (已忽略条件码):
唯一 Opcode 数量: 7,214
--------------------------------------------------------------------------------

Opcode       | Instruction Name                                             | Count
---------------------------------------------------------------------------------------
0x04D00000 | UNDEFINED (Cat 010)                                          | 841,256
0x04900000 | UNDEFINED (Cat 010)                                          | 750,544
0x00A70001 | STRT                                                         | 609,559
0x00A70000 | STRT                                                         | 609,494
0x00E70000 | STRBT                                                        | 606,267
0x00E70001 | STRBT                                                        | 606,203
0x00F70000 | LDRBT                                                        | 585,445
0x00F70001 | LDRBT                                                        | 585,305
0x00670000 | STRBT                                                        | 575,618
0x00670001 | STRBT                                                        | 575,538
0x00B70001 | LDRT                                                         | 569,049
0x00B70000 | LDRT                                                         | 569,029
0x00270001 | STRT                                                         | 543,674
0x00270000 | STRT                                                         | 543,659
0x00200000 | STRT                                                         | 452,554
0x00200001 | STRT                                                         | 452,546
0x00200000 | UNDEFINED (Cat 000)                                          | 392,071
0x00A00000 | UNDEFINED (Cat 000)                                          | 389,432
0x05F00000 | UNDEFINED (Cat 010)                                          | 385,458
0x05B00000 | UNDEFINED (Cat 010)                                          | 366,834
0x00E00000 | UNDEFINED (Cat 000)                                          | 362,516
0x00600000 | UNDEFINED (Cat 000)                                          | 361,607
0x04500000 | UNDEFINED (Cat 010)                                          | 338,357
0x04100000 | UNDEFINED (Cat 010)                                          | 337,937
0x00770000 | LDRBT                                                        | 333,622
0x00770001 | LDRBT                                                        | 333,591
0x00370000 | LDRT                                                         | 333,255
0x00370001 | LDRT                                                         | 333,219
0x00A60001 | STRT                                                         | 332,132
0x00A60000 | STRT                                                         | 332,131
0x00650000 | STRBT                                                        | 330,857
0x00650001 | STRBT                                                        | 330,851
0x00630000 | STRBT                                                        | 330,821
0x00630001 | STRBT                                                        | 330,820
0x00660001 | STRBT                                                        | 330,816
0x00660000 | STRBT                                                        | 330,802
0x00260001 | STRT                                                         | 330,654
0x00260000 | STRT                                                         | 330,648
0x00640000 | STRBT                                                        | 330,485
0x00640001 | STRBT                                                        | 330,483
0x00340001 | LDRT                                                         | 330,074
0x00620000 | STRBT                                                        | 330,067
0x00340000 | LDRT                                                         | 330,060
0x00620001 | STRBT                                                        | 330,051
0x00A50001 | STRT                                                         | 329,959
0x00A50000 | STRT                                                         | 329,957
0x00710001 | LDRBT                                                        | 329,788
0x00710000 | LDRBT                                                        | 329,785
0x00B10000 | LDRT                                                         | 329,746
0x00B10001 | LDRT                                                         | 329,727
0x00A20001 | STRT                                                         | 329,655
0x00A20000 | STRT                                                         | 329,651
0x00A30000 | STRT                                                         | 329,306
0x00A30001 | STRT                                                         | 329,303
0x00350001 | LDRT                                                         | 329,286
0x00350000 | LDRT                                                         | 329,278
0x00300000 | LDRT                                                         | 329,224
0x00300001 | LDRT                                                         | 329,215
0x00B00000 | LDRT                                                         | 328,932
0x00B00001 | LDRT                                                         | 328,921
0x00610001 | STRBT                                                        | 328,847
0x00720000 | LDRBT                                                        | 328,842
0x00610000 | STRBT                                                        | 328,841
0x00720001 | LDRBT                                                        | 328,836
0x00740001 | LDRBT                                                        | 328,808
0x00740000 | LDRBT                                                        | 328,805
0x00E00000 | STRBT                                                        | 328,787
0x00E00001 | STRBT                                                        | 328,779
0x00750001 | LDRBT                                                        | 328,757
0x00600000 | STRBT                                                        | 328,756
0x00750000 | LDRBT                                                        | 328,755
0x00600001 | STRBT                                                        | 328,753
0x00B20001 | LDRT                                                         | 328,751
0x00B30000 | LDRT                                                         | 328,749
0x00B30001 | LDRT                                                         | 328,748
0x00B20000 | LDRT                                                         | 328,748
0x00B40000 | LDRT                                                         | 328,741
0x00B40001 | LDRT                                                         | 328,739
0x00A40000 | STRT                                                         | 328,736
0x00A40001 | STRT                                                         | 328,733
0x00F50001 | LDRBT                                                        | 328,732
0x00F50000 | LDRBT                                                        | 328,732
0x00760000 | LDRBT                                                        | 328,730
0x00760001 | LDRBT                                                        | 328,728
0x00B50000 | LDRT                                                         | 328,719
0x00B50001 | LDRT                                                         | 328,718
0x00F40000 | LDRBT                                                        | 328,718
0x00F00000 | LDRBT                                                        | 328,717
0x00F40001 | LDRBT                                                        | 328,717
0x00B60001 | LDRT                                                         | 328,712
0x00A00000 | STRT                                                         | 328,712
0x00220000 | STRT                                                         | 328,710
0x00B60000 | LDRT                                                         | 328,709
0x00A00001 | STRT                                                         | 328,709
0x00220001 | STRT                                                         | 328,708
0x00320001 | LDRT                                                         | 328,707
0x00E10000 | STRBT                                                        | 328,706
0x00320000 | LDRT                                                         | 328,706
0x00A10001 | STRT                                                         | 328,705
0x00E10001 | STRBT                                                        | 328,705
0x00F00001 | LDRBT                                                        | 328,705
0x00E30001 | STRBT                                                        | 328,705
0x00E30000 | STRBT                                                        | 328,705
0x00A10000 | STRT                                                         | 328,699
0x00F60000 | LDRBT                                                        | 328,696
0x00700000 | LDRBT                                                        | 328,695
0x00F60001 | LDRBT                                                        | 328,695
0x00F30000 | LDRBT                                                        | 328,686
0x00F20001 | LDRBT                                                        | 328,686
0x00F20000 | LDRBT                                                        | 328,686
0x00F30001 | LDRBT                                                        | 328,685
0x00310000 | LDRT                                                         | 328,682
0x00310001 | LDRT                                                         | 328,682
0x00700001 | LDRBT                                                        | 328,678
0x00E20000 | STRBT                                                        | 328,678
0x00E20001 | STRBT                                                        | 328,678
0x00F10001 | LDRBT                                                        | 328,678
0x00F10000 | LDRBT                                                        | 328,678
0x00240001 | STRT                                                         | 328,676
0x00240000 | STRT                                                         | 328,676
0x00E50001 | STRBT                                                        | 328,676
0x00E50000 | STRBT                                                        | 328,676
0x00250000 | STRT                                                         | 328,673
0x00250001 | STRT                                                         | 328,673
0x00E40001 | STRBT                                                        | 328,670
0x00E40000 | STRBT                                                        | 328,670
0x00730000 | LDRBT                                                        | 328,660
0x00730001 | LDRBT                                                        | 328,660
0x00230000 | STRT                                                         | 328,651
0x00230001 | STRT                                                         | 328,649
0x00360000 | LDRT                                                         | 328,637
0x00360001 | LDRT                                                         | 328,637
0x00330000 | LDRT                                                         | 328,628
0x00330001 | LDRT                                                         | 328,628
0x00E60000 | STRBT                                                        | 328,624
0x00E60001 | STRBT                                                        | 328,624
0x00210000 | STRT                                                         | 328,603
0x00210001 | STRT                                                         | 328,600
0x03200000 | UNDEFINED (Cat 001)                                          | 262,162
0x07A00000 | UNDEFINED (Cat 011)                                          | 232,227
0x07B00000 | UNDEFINED (Cat 011)                                          | 182,215
0x01F00000 | UNDEFINED (Cat 000)                                          | 126,210
0x05300000 | UNDEFINED (Cat 010)                                          | 97,140
0x05700000 | UNDEFINED (Cat 010)                                          | 95,825
0x00D00000 | UNDEFINED (Cat 000)                                          | 84,312
