[0x2069bb, 0x2069bc]
[0x20f2d8, 0x20f2d9]
[0x20fff6, 0x20fff7]
[0x21a4f4, 0x21a4f5]
[0x21d1b6, 0x21d1b7]
[0x22d3f2, 0x22d3f3]
[0x22dbd2, 0x22dbd3]
[0x233cd9, 0x233cda]
[0x2341fb, 0x2341fc]
[0x241bb5, 0x241bb6]
[0x2451f4, 0x2451f5]
[0x24b5f2, 0x24b5f3]
[0x25d7d7, 0x25d7d8]
[0x25f1b5, 0x25f1b6]
[0x260bb5, 0x260bb6]
[0x262bba, 0x262bbb]
[0x2642f9, 0x2642fa]
[0x267df2, 0x267df3]
[0x270ff9, 0x270ffa]
[0x27bebf, 0x27bec0]
[0x2832b9, 0x2832ba]
[0x28bafd, 0x28bafe]
[0x28e8f2, 0x28e8f3]
[0x28f7b0, 0x28f7b1]
[0x29a0f4, 0x29a0f5]
[0x29f1d5, 0x29f1d6]
[0x29fedc, 0x29fedd]
[0x2a4bf1, 0x2a4bf2]
[0x2ad6d4, 0x2ad6d5]
[0x2ae4b2, 0x2ae4b3]
[0x2aeabd, 0x2aeabe]
[0x2af9b8, 0x2af9b9]
[0x2bd3d5, 0x2bd3d6]
[0x2c46b8, 0x2c46b9]
[0x2ccbf6, 0x2ccbf7]
[0x2cfeb5, 0x2cfeb6]
[0x2d47de, 0x2d47df]
[0x2d8cd0, 0x2d8cd1]
[0x2df8b1, 0x2df8b2]
[0x2dfed1, 0x2dfed2]
[0x2e2cd8, 0x2e2cd9]
[0x2e56fb, 0x2e56fc]
[0x2ecfb4, 0x2ecfb5]
[0x2f1db3, 0x2f1db4]
[0x2f2ed6, 0x2f2ed7]
[0x2f34fa, 0x2f34fb]
[0x2f3cbe, 0x2f3cbf]
[0x2fc1b3, 0x2fc1b4]
[0x2fc1be, 0x2fc1bf]
[0x5f18b5, 0x5f18b6]
[0x5f22ba, 0x5f22bb]
[0x5f4df6, 0x5f4df7]
[0x5f57bc, 0x5f57bd]
[0x5f78b6, 0x5f78b7]
[0x60b0da, 0x60b0db]
[0x61bbd5, 0x61bbd6]
[0x61e4d8, 0x61e4d9]
[0x62a6fc, 0x62a6fd]
[0x631ef7, 0x631ef8]
[0x6330f6, 0x6330f7]
[0x6378fd, 0x6378fe]
[0x63b9f6, 0x63b9f7]
[0x63c1db, 0x63c1dc]
[0x642fd3, 0x642fd4]
[0x6461d1, 0x6461d2]
[0x6570d6, 0x6570d7]
[0x65bff3, 0x65bff4]
[0x65cffa, 0x65cffb]
[0x666efb, 0x666efc]
[0x6837ff, 0x683800]
[0x68caff, 0x68cb00]
[0x68d5d6, 0x68d5d7]
[0x68fcfd, 0x68fcfe]
[0x68ffdd, 0x68ffde]
[0x691df5, 0x691df6]
[0x69f8d8, 0x69f8d9]
[0x6a65da, 0x6a65db]
[0x6af1fa, 0x6af1fb]
[0x6b2ff1, 0x6b2ff2]
[0x6bdafe, 0x6bdaff]
[0x6c88d4, 0x6c88d5]
[0x6caeff, 0x6caf00]
[0x6cb8dd, 0x6cb8de]
[0x6ccdfb, 0x6ccdfc]
[0x6ce4fd, 0x6ce4fe]
[0x6cfdfc, 0x6cfdfd]
[0x6d3bde, 0x6d3bdf]
[0x6de1f8, 0x6de1f9]
[0x6e3ffe, 0x6e3fff]
[0x6e70f1, 0x6e70f2]
[0x6ef1f7, 0x6ef1f8]
[0xa06ab9, 0xa06aba]
[0xa0bfd5, 0xa0bfd6]
[0xa0c0d0, 0xa0c0d1]
[0xa0c9dd, 0xa0c9de]
[0xa0e4d8, 0xa0e4d9]
[0xa196de, 0xa196df]
[0xa21ef1, 0xa21ef2]
[0xa243dc, 0xa243dd]
[0xa349f1, 0xa349f2]
[0xa381f4, 0xa381f5]
