================================================================================
功能性隐藏指令归类统计报告 (细粒度 Opcode)
================================================================================

总处理/确认隐藏指令数: 17,902,989
Type A (完全未定义): 8,654,125
Type B (格式不符): 9,248,864

--------------------------------------------------------------------------------
Opcode 归类结果 (已忽略条件码):
唯一 Opcode 数量: 3,342
--------------------------------------------------------------------------------

Opcode       | Instruction Name                                             | Count
---------------------------------------------------------------------------------------
0x03200000 | UNDEFINED (Cat 001)                                          | 2,291,728
0x05F00000 | UNDEFINED (Cat 010)                                          | 864,845
0x04D00000 | UNDEFINED (Cat 010)                                          | 864,841
0x05B00000 | UNDEFINED (Cat 010)                                          | 864,201
0x04900000 | UNDEFINED (Cat 010)                                          | 864,196
0x000A0000 | MOV, MOVS (immediate)                                        | 851,984
0x00060000 | MOV, MOVS (immediate)                                        | 851,984
0x00020000 | MOV, MOVS (immediate)                                        | 851,984
0x00080000 | MOV, MOVS (immediate)                                        | 851,984
0x000C0000 | MOV, MOVS (immediate)                                        | 851,984
0x00040000 | MOV, MOVS (immediate)                                        | 851,984
0x000E0000 | MOV, MOVS (immediate)                                        | 851,984
0x00000000 | MOV, MOVS (immediate)                                        | 851,976
0x07A00000 | UNDEFINED (Cat 011)                                          | 844,833
0x07B00000 | UNDEFINED (Cat 011)                                          | 567,128
0x07E00000 | UNDEFINED (Cat 011)                                          | 528,021
0x00F70000 | LDRBT                                                        | 432,526
0x00F70001 | LDRBT                                                        | 432,308
0x00B70001 | LDRT                                                         | 432,097
0x00B70000 | LDRT                                                         | 432,097
0x07F00000 | UNDEFINED (Cat 011)                                          | 430,546
0x01F00000 | UNDEFINED (Cat 000)                                          | 168,948
0x00D00000 | UNDEFINED (Cat 000)                                          | 168,944
0x00500000 | UNDEFINED (Cat 000)                                          | 55,086
0x01700000 | UNDEFINED (Cat 000)                                          | 55,083
0x04100000 | UNDEFINED (Cat 010)                                          | 18,368
0x05300000 | UNDEFINED (Cat 010)                                          | 18,368
0x04500000 | UNDEFINED (Cat 010)                                          | 18,360
0x05700000 | UNDEFINED (Cat 010)                                          | 18,357
0x00370000 | LDRT                                                         | 9,184
0x00770001 | LDRBT                                                        | 9,184
0x00370001 | LDRT                                                         | 9,183
0x00770000 | LDRBT                                                        | 9,176
0x02100380 | VQRDMULH                                                     | 7,894
0x02100384 | VQRDMULH                                                     | 7,894
0x02200380 | VQRDMULH                                                     | 7,894
0x02200384 | VQRDMULH                                                     | 7,894
0x02100300 | VQRDMULH                                                     | 7,874
0x02200300 | VQRDMULH                                                     | 7,874
0x02100304 | VQRDMULH                                                     | 7,870
0x02200304 | VQRDMULH                                                     | 7,870
0x02100300 | VQDMULH                                                      | 7,868
0x02100304 | VQDMULH                                                      | 7,868
0x02200300 | VQDMULH                                                      | 7,868
0x02200304 | VQDMULH                                                      | 7,868
