[0x13240000, 0x13240001]
[0x13240701, 0x13240901]
[0x13240904, 0x13240905]
[0x13240908, 0x13240909]
[0x1324090c, 0x1324090d]
[0x13240910, 0x13240911]
[0x13240914, 0x13240915]
[0x13240918, 0x13240919]
[0x1324091c, 0x1324091d]
[0x13240920, 0x13240921]
[0x13240924, 0x13240925]
[0x13240928, 0x13240929]
[0x1324092c, 0x1324092d]
[0x13240930, 0x13240931]
[0x13240934, 0x13240935]
[0x13240938, 0x13240939]
[0x1324093c, 0x1324093d]
[0x13240940, 0x13240941]
[0x13240944, 0x13240945]
[0x13240948, 0x13240949]
[0x1324094c, 0x1324094d]
[0x13240950, 0x13240951]
[0x13240954, 0x13240955]
[0x13240958, 0x13240959]
[0x1324095c, 0x1324095d]
[0x13240960, 0x13240961]
[0x13240964, 0x13240965]
[0x13240968, 0x13240969]
[0x1324096c, 0x1324096d]
[0x13240970, 0x13240971]
[0x13240974, 0x13240975]
[0x13240978, 0x13240979]
[0x1324097c, 0x1324097d]
[0x13240980, 0x13240981]
[0x13240984, 0x13240985]
[0x13240988, 0x13240989]
[0x1324098c, 0x1324098d]
[0x13240990, 0x13240991]
[0x13240994, 0x13240995]
[0x13240998, 0x13240999]
[0x1324099c, 0x1324099d]
[0x132409a0, 0x132409a1]
[0x132409a4, 0x132409a5]
[0x132409a8, 0x132409a9]
[0x132409ac, 0x132409ad]
[0x132409b0, 0x132409b1]
[0x132409b4, 0x132409b5]
[0x132409b8, 0x132409b9]
[0x132409bc, 0x132409bd]
[0x132409c0, 0x132409c1]
[0x132409c4, 0x132409c5]
[0x132409c8, 0x132409c9]
[0x132409cc, 0x132409cd]
[0x132409d0, 0x132409d1]
[0x132409d4, 0x132409d5]
[0x132409d8, 0x132409d9]
[0x132409dc, 0x132409dd]
[0x132409e0, 0x132409e1]
[0x132409e4, 0x132409e5]
[0x132409e8, 0x132409e9]
[0x132409ec, 0x132409ed]
[0x132409f0, 0x132409f1]
[0x132409f4, 0x132409f5]
[0x132409f8, 0x132409f9]
[0x132409fc, 0x132409fd]
[0x13240a00, 0x13240a01]
[0x13240a10, 0x13240a11]
[0x13240a20, 0x13240a21]
[0x13240a30, 0x13240a31]
[0x13240a40, 0x13240a41]
[0x13240a50, 0x13240a51]
[0x13240a60, 0x13240a61]
[0x13240a70, 0x13240a71]
[0x13240a80, 0x13240a81]
[0x13240a90, 0x13240a91]
[0x13240aa0, 0x13240aa1]
[0x13240ab0, 0x13240ab1]
[0x13240ac0, 0x13240ac1]
[0x13240ad0, 0x13240ad1]
[0x13240ae0, 0x13240ae1]
[0x13240af0, 0x13240af1]
[0x13240b00, 0x13240b01]
[0x13240b40, 0x13240b41]
[0x13240b80, 0x13240b81]
[0x13240bc0, 0x13240bc1]
[0x13240c00, 0x13240c01]
[0x13241701, 0x13241901]
[0x13241904, 0x13241905]
[0x13241908, 0x13241909]
