运行统计报告
运行时间: Thu Jun 26 11:41:07 2025
总耗时: 4668.18秒
并行进程数: 20
成功任务: 256/256
失败任务: 0/256
平均单任务耗时: 351.60秒

详细结果:
第0轮: 成功, 耗时: 415.07秒
第1轮: 成功, 耗时: 428.85秒
第2轮: 成功, 耗时: 361.57秒
第3轮: 成功, 耗时: 342.47秒
第4轮: 成功, 耗时: 205.35秒
第5轮: 成功, 耗时: 312.39秒
第6轮: 成功, 耗时: 482.95秒
第7轮: 成功, 耗时: 692.04秒
第8轮: 成功, 耗时: 259.70秒
第9轮: 成功, 耗时: 298.06秒
第10轮: 成功, 耗时: 212.82秒
第11轮: 成功, 耗时: 229.68秒
第12轮: 成功, 耗时: 296.70秒
第13轮: 成功, 耗时: 360.36秒
第14轮: 成功, 耗时: 415.79秒
第15轮: 成功, 耗时: 242.81秒
第16轮: 成功, 耗时: 421.70秒
第17轮: 成功, 耗时: 432.59秒
第18轮: 成功, 耗时: 366.37秒
第19轮: 成功, 耗时: 336.60秒
第20轮: 成功, 耗时: 207.32秒
第21轮: 成功, 耗时: 316.37秒
第22轮: 成功, 耗时: 515.33秒
第23轮: 成功, 耗时: 733.54秒
第24轮: 成功, 耗时: 262.84秒
第25轮: 成功, 耗时: 305.89秒
第26轮: 成功, 耗时: 219.69秒
第27轮: 成功, 耗时: 232.84秒
第28轮: 成功, 耗时: 318.10秒
第29轮: 成功, 耗时: 364.39秒
第30轮: 成功, 耗时: 441.56秒
第31轮: 成功, 耗时: 252.57秒
第32轮: 成功, 耗时: 441.54秒
第33轮: 成功, 耗时: 458.23秒
第34轮: 成功, 耗时: 373.87秒
第35轮: 成功, 耗时: 348.02秒
第36轮: 成功, 耗时: 209.39秒
第37轮: 成功, 耗时: 320.64秒
第38轮: 成功, 耗时: 520.11秒
第39轮: 成功, 耗时: 732.56秒
第40轮: 成功, 耗时: 263.52秒
第41轮: 成功, 耗时: 302.38秒
第42轮: 成功, 耗时: 218.34秒
第43轮: 成功, 耗时: 232.36秒
第44轮: 成功, 耗时: 316.56秒
第45轮: 成功, 耗时: 361.83秒
第46轮: 成功, 耗时: 438.45秒
第47轮: 成功, 耗时: 248.53秒
第48轮: 成功, 耗时: 434.18秒
第49轮: 成功, 耗时: 457.90秒
第50轮: 成功, 耗时: 374.41秒
第51轮: 成功, 耗时: 346.94秒
第52轮: 成功, 耗时: 212.24秒
第53轮: 成功, 耗时: 322.89秒
第54轮: 成功, 耗时: 526.77秒
第55轮: 成功, 耗时: 729.36秒
第56轮: 成功, 耗时: 265.34秒
第57轮: 成功, 耗时: 301.36秒
第58轮: 成功, 耗时: 217.70秒
第59轮: 成功, 耗时: 232.67秒
第60轮: 成功, 耗时: 304.24秒
第61轮: 成功, 耗时: 353.25秒
第62轮: 成功, 耗时: 427.71秒
第63轮: 成功, 耗时: 240.41秒
第64轮: 成功, 耗时: 426.08秒
第65轮: 成功, 耗时: 447.49秒
第66轮: 成功, 耗时: 366.59秒
第67轮: 成功, 耗时: 342.25秒
第68轮: 成功, 耗时: 206.68秒
第69轮: 成功, 耗时: 316.30秒
第70轮: 成功, 耗时: 512.24秒
第71轮: 成功, 耗时: 713.99秒
第72轮: 成功, 耗时: 261.68秒
第73轮: 成功, 耗时: 298.87秒
第74轮: 成功, 耗时: 213.34秒
第75轮: 成功, 耗时: 228.85秒
第76轮: 成功, 耗时: 302.70秒
第77轮: 成功, 耗时: 353.21秒
第78轮: 成功, 耗时: 427.26秒
第79轮: 成功, 耗时: 244.48秒
第80轮: 成功, 耗时: 426.46秒
第81轮: 成功, 耗时: 441.31秒
第82轮: 成功, 耗时: 365.17秒
第83轮: 成功, 耗时: 340.93秒
第84轮: 成功, 耗时: 205.08秒
第85轮: 成功, 耗时: 312.10秒
第86轮: 成功, 耗时: 512.70秒
第87轮: 成功, 耗时: 716.82秒
第88轮: 成功, 耗时: 257.87秒
第89轮: 成功, 耗时: 293.55秒
第90轮: 成功, 耗时: 210.39秒
第91轮: 成功, 耗时: 224.88秒
第92轮: 成功, 耗时: 300.41秒
第93轮: 成功, 耗时: 350.81秒
第94轮: 成功, 耗时: 427.24秒
第95轮: 成功, 耗时: 239.14秒
第96轮: 成功, 耗时: 426.25秒
第97轮: 成功, 耗时: 439.00秒
第98轮: 成功, 耗时: 363.81秒
第99轮: 成功, 耗时: 340.67秒
第100轮: 成功, 耗时: 205.24秒
